ID,人物,传统,现标v1,语句
02074,程颢,中国,A,吾学虽有所受，「天理」二字却是自家体贴出来。——《外书》卷十二 ⚠️（或出《上蔡语录》转引）
02075,商羯罗,印度,B,生死流转唯是意识之相续，实无转者。——《薄伽梵歌注·卷二》〔译〕
02076,休谟,西方,B,国家的权力若超出维系和平的需要，便成压迫。——《人性论》卷三·部二·章八〔意译〕
02077,尼采,西方,A,那不能杀死我的，使我更强大。——《偶像的黄昏·箴言与箭》8
02078,董仲舒,中国,B,天覆育万物，既化而生之，又养而成之。——《春秋繁露·王道通三》
02079,庄子,中国,B,世俗之所谓知者，有不为大盗积者乎？——《庄子·胠箧》
02080,黑格尔,西方,A,精神，是返回自身的圆圈。——《精神现象学》〔译〕
02081,德谟克利特,西方,B,同一物于不同的人显现不同，足证感觉非真实。——〔译〕《残篇》DK B（普鲁塔克转引）
02082,王夫之,中国,B,礼虽纯为天理之节文，而必寓于人欲以见。——《读通鉴论》
02083,苏格拉底,西方,A,对死亡的恐惧，其实是自以为知道自己所不知道的事。——柏拉图《申辩篇》29a〔译〕
02084,萨特,西方,B,群体惰性使个体放弃判断，顺从多数。——《辩证理性批判》〔意译〕
02085,道元,日本,B,草木国土，悉皆成佛，何况有情？——《正法眼藏·山川草木》
02086,熊十力,中国,A,性智者，本体之自觉也。——《新唯识论·卷中》
02087,孟子,中国,B,一齐人傅之，众楚人咻之。——《孟子·滕文公下》
02088,柏拉图,西方,A,灵魂若不洁净，便不能抵达那纯净之神明。——〔译〕《斐多》80e—81a
02089,商鞅,中国,B,故善为国者，其教民也，皆作壹而得官爵。——《商君书·农战》
02090,商鞅,中国,B,故圣人知治国之要，令民归心于农战。——《商君书·农战》
02091,韩非,中国,A,顾小利，则大利之残也。——《韩非子·十过》
02092,朱熹,中国,A,读书之法，在循序而渐进，熟读而精思。——《读书之要》
02093,海德格尔,西方,B,技术时代的人类失去了与存在之近邻关系。——《演讲与论文集》〔意译〕
02094,爱比克泰德,西方,B,一个人对他人的义务，取决于他扮演的社会角色：你是儿子，便尽儿子之分；你是公民，便尽公民之分。——《手册·30》〔译〕
02095,孟子,中国,B,民为贵，社稷次之，君为轻。——《孟子·尽心下》
02096,牟宗三,中国,B,礼者，天理之节文而见乎人事。——《心体与性体·第二部》 〔意译〕
02097,洛克,西方,B,本质的争论多源于语言的混乱。——《人类理解论》卷三·章三·节17〔意译〕
02098,黄宗羲,中国,A,吾人当自立，不当依傍门户。——《南雷文定》 〔意译〕
02099,帕斯卡,西方,A,我思故我在，但「我」远不止于思维；我是一个会朽坏、会恐惧、会盼望的整体。——《思想录》〔意译〕
02100,孙子,中国,A,善战者，求之于势，不责于人，故能择人而任势。——《孙子兵法·势篇》
02101,释迦牟尼,印度,A,当善观察，于色生厌离、离欲、灭尽，是名苦边。——《杂阿含经·卷一》
02102,张载,中国,B,乾称父，坤称母；予兹藐焉，乃混然中处。——《西铭》
02103,公孙龙,中国,B,曰：谓鸡足一，数足二，二而一，故三。谓牛羊足一，数足四，四而一，故五。——《公孙龙子·通变论》
02104,罗素,西方,B,在各种谨慎之中，爱情里的谨慎或许对真正的幸福最为致命。——《婚姻与道德》〔译〕
02105,老子,中国,B,天网恢恢，疏而不失。——《道德经·第七十三章》
02106,福柯,西方,A,理性于我，是一种需要被不断审视的姿态，而非一种资产。——《知识考古学》〔意译〕
02107,牟宗三,中国,A,慎独者，在无愧于暗室。——《心体与性体·第三部》 〔意译〕
02108,马克思,西方,B,现代的国家政权，不过是管理资产阶级事务的委员会。——《共产党宣言》〔译〕
02109,王阳明,中国,B,古人所以既说一个知，又说一个行者，只为世间有一种人，懵懵懂懂的任意去做。——《传习录》上
02110,休谟,西方,B,外部世界的存在无法被理性证明，只能由信念接受。——《人性论》卷一·部四·章二〔意译〕
02111,胡塞尔,西方,A,我的一切知识都带有「我的」这一归属特征。——《笛卡尔式的沉思》第五沉思〔译〕
02112,嵇康,中国,B,夫元气陶铄，众生禀焉；赋受有多少，故才性有昏明。——《明胆论》
02113,公孙龙,中国,B,二有右乎？曰：二无右。二有左乎？曰：二无左。——《公孙龙子·通变论》
02114,冯友兰,中国,A,学以变化气质，亦以充实其觉解。——《新原人》 〔意译〕
02115,周敦颐,中国,B,水陆草木之花，可爱者甚蕃。晋陶渊明独爱菊；自李唐来，世人甚爱牡丹。——《爱莲说》
02116,德谟克利特,西方,A,一个人的高贵，在于其行事，而非其出身。——〔译〕《残篇》DK B51（斯托拜乌斯转引）
02117,斯宾诺莎,西方,B,上帝不按照目的行事；「目的」是人投射于自然的幻象。——《伦理学》第一部分·命题三十六附释〔意译〕
02118,韩非,中国,B,法不阿贵，绳不挠曲。——《韩非子·有度》
02119,冯友兰,中国,B,历史是不断底变动底，有其理势。——《中国哲学史》 〔意译〕
02120,加缪,西方,B,自然的壮丽与冷漠并存，一如荒诞本身。——《西西弗神话》〔意译〕
02121,康德,西方,A,人是目的，而不仅仅是供他人使用的手段。——《道德形而上学奠基》〔译〕
02122,福柯,西方,A,我一生都在学习如何不被自己的学科所囚禁。——《知识考古学》〔意译〕
02123,帕斯卡,西方,B,自然法在败坏的人心里已模糊，需由实定法与恩典补足。——《思想录》L312〔意译〕
02124,尼采,西方,A,我的记忆说：「我做过这件事。」我的骄傲说：「我不可能做过。」他们互不相让，最终记忆屈服了。——《善恶的彼岸》箴言68
02125,休谟,西方,B,观念的关系（如数学）与实际的事件，是两类完全不同的知识。——《人性论》卷一·部三·章一〔意译〕
02126,孔子,中国,B,巧言令色，鲜矣仁。——《论语·学而》
02127,亚里士多德,西方,A,德性非由自然而生，而是由习惯养成，故名为 ethos（伦理）。——〔译〕《尼各马可伦理学》1103a
02128,王充,中国,B,儒书说日，日旦出扶桑，暮入细柳。——《论衡·说日》
02129,吉田兼好,日本,B,言者无心，听者有意，故慎言。——《徒然草》〔译〕
02130,王夫之,中国,B,天人一理，气化流行。——《张子正蒙注·太和篇》
02131,牟宗三,中国,A,吾人之真我，即自由无限心。——《现象与物自身》 〔意译〕
02132,伊壁鸠鲁,西方,A,愚者所行非其所当行，所愿非其所当愿。——〔译〕《梵蒂冈格言集》VS 17
02133,克尔凯郭尔,西方,B,社会把人平均化，使人免于成为个体。——《现时代》（本名）〔译〕
02134,波普尔,西方,A,自由思考，意味着随时准备放弃自己最珍爱的信念。——《开放社会及其敌人》〔意译〕
02135,僧肇,中国,A,涅槃之道，寂寥虚旷，不可以形名得；微妙无相，不可以有心知。——《涅槃无名论》
02136,董仲舒,中国,A,仁而不智，则爱而不别也；智而不仁，则知而不为也。——《春秋繁露·必仁且智》
02137,鲁米,伊斯兰波斯,B,语言分裂，音乐合一。——《玛斯纳维·卷二》〔译〕
02138,王阳明,中国,B,我的灵明，便是天地鬼神的主宰。——《传习录》下
02139,第欧根尼,西方,B,智者的言语如药，愚者却嫌其苦。——〔意译〕《名哲言行录》卷六（据其言论）
02140,苏格拉底,西方,B,即使判决不公，也不应违反城邦的法律。——柏拉图《克力同篇》50a 以下〔译〕
02141,洛克,西方,A,实在的本质是我们所不知的，我们只知名义的本质。——《人类理解论》卷三·章三·节15〔意译〕
02142,赫拉克利特,西方,A,神是昼也是夜，是冬也是夏，是战也是和，是盈也是亏。——〔译〕《残篇》DK B67（克莱门《杂记》转引）
02143,尼采,西方,A,凡与怪兽搏斗的人，应当小心自己不要因此变成怪兽。——《善恶的彼岸》箴言146
02144,朱熹,中国,A,自敬，则人敬之。——《语类》
02145,道元,日本,B,生死即涅槃，烦恼即菩提，非有二物。——《正法眼藏·生死》
02146,商羯罗,印度,B,众生虽异，其内之梵如一盐入水，遍满无别。——《梵经注·卷一》〔译〕
02147,张载,中国,A,形而后有气质之性，善反之则天地之性存焉。故气质之性，君子有弗性者焉。——《正蒙·诚明》
02148,海亚姆,伊斯兰波斯,A,人生逆旅，君是过客，莫负今宵。——《鲁拜集》〔译〕
02149,休谟,西方,B,社会凭约定而非天然本能维系。——《人性论》卷三·部二〔意译〕
02150,陆九渊,中国,A,闻过则喜，知过不讳，改过不惮。——《语录》
02151,僧肇,中国,A,审一气以观化，故所遇而顺适。——《不真空论》
02152,波普尔,西方,A,我年轻时曾渴望确定的世界图景，后来明白确定是思想之敌。——《无穷的探索》〔意译〕
02153,波普尔,西方,B,历史没有目的，也不存在一条通往乌托邦的必然道路。——《历史决定论的贫困》〔译〕
02154,王弼,中国,B,夫大之极也，其唯道乎！——《老子注·三十八章》
02155,塞涅卡,西方,A,真正的自由，是不被任何外物所奴役；你若依赖财富，便把枷锁戴在了自己手上。——《致鲁基里乌斯书信集·第9封》〔译〕
02156,顾炎武,中国,B,水利者，农政之本。——《天下郡国利病书》 〔意译〕
02157,道元,日本,B,有時者，時也；時中皆有佛道。——《正法眼藏·有時》
02158,墨子,中国,A,万事莫贵于义。——《墨子·贵义》
02159,马克思,西方,B,机器，是生产剩余价值的手段。——《资本论》第一卷·第十三章〔译〕
02160,斯宾诺莎,西方,B,国家起源于人们的共同协议与权利让渡。——《神学政治论》第十六章〔意译〕
02161,罗素,西方,A,工作，当它是出于自愿且具建设性时，是幸福的重要来源。——《幸福之路》〔译〕
02162,龙树,印度,A,菩萨以无所得为方便，行六波罗蜜，是名真精进。——《大智度论·卷八十六》〔意译〕
02163,嵇康,中国,B,心之与声，明为二物。——《声无哀乐论》
02164,苏格拉底,西方,B,技艺高明的人，往往因自己的技艺而自负，反而失去了智慧。——柏拉图《申辩篇》22d〔译〕
02165,柏拉图,西方,B,美德是否可教，至今仍是一个悬而未决的问题。——〔译〕《美诺》80d—100b
02166,克尔凯郭尔,西方,A,主体性是真理。——《哲学片段》（Johannes Climacus）〔译〕
02167,海德格尔,西方,B,语言之言说，先于人之言说。——《林中路·语言》〔译〕
02168,加缪,西方,A,我的夏天不可被夺走，因它在我的内部。——《夏天》〔意译〕
02169,海亚姆,伊斯兰波斯,B,农人辛勤，终不知为谁收成。——《鲁拜集》〔译〕
02170,董仲舒,中国,A,质于禽兽之性，则万民之性善矣；质于人道之善，则民性弗及也。——《春秋繁露·深察名号》
02171,马克思,西方,B,历史重复出现，第一次是悲剧，第二次是笑剧。——《路易·波拿巴的雾月十八日》〔译〕
02172,莱布尼茨,西方,A,我之所是，是一个从上帝流出的有限视角。——《单子论》第47节〔意译〕
02173,帕斯卡,西方,B,人类的伟大与悲惨都来自同一个根源：人是会思想的受造物。——《思想录》L114〔意译〕
02174,莱布尼茨,西方,A,灵魂与身体之间，没有真正的因果作用，只有预先的和谐。——《单子论》第78节〔意译〕
02175,程颐,中国,A,人心私欲，故危殆；道心天理，故精微。——《遗书》卷二十四
02176,克里希那穆提,印度,A,快乐与喜悦不同：快乐依赖对象，喜悦不依赖。——《重新认识你自己》〔译〕
02177,克尔凯郭尔,西方,A,自欺，是对自己隐藏那不愿知道的真相。——《致死的疾病》（Anti-Climacus）〔译〕
02178,熊十力,中国,A,真我者，非形骸之我，乃本心之体。——《新唯识论·卷中》 〔意译〕
02179,郭象,中国,A,无心而任乎自尔。——《庄子注·应帝王》
02180,释迦牟尼,印度,A,于色不爱喜者，则不生忧、悲、恼、苦。——《杂阿含经·卷一》
02181,安萨里,伊斯兰波斯,B,宇宙如一座由光点亮的灯龛，光来自真主。——《光的壁龛》（Mishkāt al-Anwār）〔译〕
02182,鲁米,伊斯兰波斯,A,在门前行礼于你千万种化身，再入门。——《玛斯纳维·卷六》〔译〕
02183,墨子,中国,B,凡足以奉给民用，则止。——《墨子·节用中》
02184,王夫之,中国,B,天理人欲，同行而异情。——《读通鉴论》
02185,胡塞尔,西方,A,我思（cogito）是一切明见性的最终基础。——《笛卡尔式的沉思》第一沉思〔译〕
02186,陆九渊,中国,B,易简工夫终久大，支离事业竟浮沉。——《鹅湖和教授兄韵》（诗）
02187,帕斯卡,西方,A,人所以悲惨，是因为他被剥夺了原本的尊严而又无力恢复。——《思想录》L131〔意译〕
02188,吉田兼好,日本,A,独处而不孤，方为真隐者。——《徒然草》〔译〕
02189,苏格拉底,西方,B,一个人若总是附和多数人的意见，就无法接近真理。——柏拉图《克力同篇》44c 以下〔译〕※
02190,克尔凯郭尔,西方,A,绝望的反面，不是快乐，而是信仰。——《致死的疾病》（Anti-Climacus）〔译〕
02191,僧肇,中国,B,是以圣人即物顺通，无滞而不通。——《不真空论》
02192,叔本华,西方,B,历史证明：幸福，不在任何时代实现过。——《作为意志和表象的世界》〔译〕
02193,顾炎武,中国,B,封建之失，其专在下；郡县之失，其专在上。——《日知录·郡县论》
02194,海德格尔,西方,B,世界之遭罹，源于人把自然仅当作资源。——《技术的追问》〔意译〕
02195,商羯罗,印度,A,自我（阿特曼）是纯粹意识，无垢、无作、不变、圆满。——《梵经注·卷一》〔译〕
02196,慧能,中国,A,善知识，菩提般若之智，世人本自有之。——《坛经》（敦煌本）
02197,张载,中国,B,于时保之，子之翼也；乐且不忧，纯乎孝者也。——《西铭》
02198,伊壁鸠鲁,西方,B,暗自违背契约的人，绝不可能安心。——〔译〕《主要学说》KD 35
02199,斯宾诺莎,西方,A,人的心灵不会完全随身体消灭，它有某种永恒的东西。——《伦理学》第五部分·命题三十六附释〔意译〕
02200,胡塞尔,西方,B,欧洲危机不是经济或政治的，而是理性的迷失。——《欧洲科学的危机与超越论的现象学》§1〔译〕
02201,朱熹,中国,A,圣人千言万语，只是教人明天理、灭人欲。——《语类》卷十二
02202,克尔凯郭尔,西方,A,焦虑，是自我在自由之可能性面前的眩晕。——《焦虑的概念》（Vigilius Haufniensis）〔译〕
02203,王充,中国,B,夫天地合气，人偶自生也；犹夫妇合气，子则自生也。——《论衡·物势》
02204,第欧根尼,西方,B,他人是一面镜子：你如何看人，便暴露你是什么。——〔意译〕《名哲言行录》卷六（据其处世）
02205,黄宗羲,中国,B,有治法而后有治人。——《明夷待访录·原法》
02206,巴门尼德,西方,A,你须以理性，去辨析那争讼已久的论证。——〔译〕《论自然》残篇 DK B12（辛普里丘转引）
02207,王充,中国,B,治国之道，所养有二：一曰养德，二曰养力。——《论衡·非韩》
02208,安萨里,伊斯兰波斯,B,自然的秩序，彰显造物主之智慧。——《宗教学科的复兴》〔译〕
02209,墨子,中国,B,执有命者，此天下之厚害也。——《墨子·非命下》
02210,程颢,中国,B,天地设位，而易行乎其中，只是敬也。敬则无间断。——《遗书》卷二上
02211,牟宗三,中国,B,中国以往只有治道，而无政道。——《政道与治道》 〔意译〕
02212,加缪,西方,B,荒诞产生于人的呼唤与世界无理的沉默之间的对峙。——《西西弗神话》〔译〕
02213,福柯,西方,A,我不是一个哲学家；我是一个研究疯癫、监狱与性的历史学家。——《权力的眼睛》〔意译〕
02214,朱熹,中国,A,去人欲，须从偏处克将去。——《语类》
02215,福柯,西方,B,主权权力的象征是「使人死」，而现代权力更擅长「使人活」。——《必须保卫社会》〔译〕
02216,墨子,中国,B,赖其力者生，不赖其力者不生。——《墨子·非乐上》
02217,爱比克泰德,西方,B,你评判一桩公共事件，记住你只是整体中的一个部分，你的判断当以整体的善为尺度。——《手册·30》〔意译〕
02218,尼采,西方,A,成为你自己！——《不合时宜的沉思·作为教育者的叔本华》〔意译〕
02219,周敦颐,中国,B,治天下有本，身之谓也；治天下有则，家之谓也。——《通书·家人睽复无妄》
02220,熊十力,中国,A,心之体，寂而恒照，照而恒寂。——《新唯识论·卷中》 〔意译〕
02221,赫拉克利特,西方,B,冷物变热，热物变冷；湿物变干，干物变湿。——〔译〕《残篇》DK B126（普鲁塔克《自然问题》转引）
02222,张载,中国,B,天体物不遗，犹仁体事而无不在也。——《正蒙·天道》
02223,程颢,中国,A,仁者，以天地万物为一体，莫非己也。认得为己，何所不至？——《遗书》卷二上
02224,安萨里,伊斯兰波斯,A,内在的宁静，来自对主的托付（tawakkul）。——《宗教学科的复兴》〔译〕
02225,龙树,印度,B,如幻亦如梦，如乾闼婆城；所说生住灭，其相亦如是。——《中论·观三相品》
02226,斯宾诺莎,西方,A,凡是清楚明白地认识自己与自己情感的人，就爱神。——《伦理学》第五部分·命题十五〔意译〕
02227,伊壁鸠鲁,西方,B,研究自然，不是为了向人炫耀，而是为了心中的安宁。——〔译〕《梵蒂冈格言集》VS 49
02228,张载,中国,A,无得罪于州闾乡党之患，其惟慎独乎。——《东铭》
02229,阿奎那,西方,B,善是万物之所欲；一物之善，在于它实得其是。——《神学大全·I·q.5·a.1》〔译〕
02230,公孙龙,中国,B,循石，非彼无石，非石无所取乎白石。不相与盈，于石，必相盈，于其然也。——《公孙龙子·坚白论》
02231,释迦牟尼,印度,B,日可令冷、月可令热，佛说四圣谛，不可令异。——《杂阿含经·卷十五》
02232,王弼,中国,B,统之有宗，会之有元，故繁而不乱，众而不惑。——《周易略例·明彖》
02233,爱比克泰德,西方,A,不要向人炫耀你的学问，而要在行为中彰显它。——《手册·12》〔译〕
02234,海亚姆,伊斯兰波斯,A,天若真慈，何忍生我以愁？——《鲁拜集》〔译〕
02235,帕斯卡,西方,B,没有力量的正义是软弱的，没有正义的力量是暴虐的。——《思想录》L298〔意译〕
02236,韩非,中国,A,众人皆知利利而病病，唯圣人知病之为利，知利之为病。——《韩非子·解老》
02237,帕斯卡,西方,A,我们在休息中感到无聊，于是逃避安静，奔向喧嚣。——《思想录》L133〔意译〕
02238,孙子,中国,B,投之亡地然后存，陷之死地然后生。——《孙子兵法·九地篇》
02239,黄宗羲,中国,B,今夫通都之市，十室而九为空，皆困于赋也。——《明夷待访录·财计》 〔意译〕
02240,休谟,西方,A,我们若追问到底，连「自我」也只是一个流动的知觉流。——《人性论》卷一·部四·章六〔意译〕
02241,尼采,西方,A,人是一根绳索，系于禽兽与超人之间——一根悬于深渊之上的绳索。——《查拉图斯特拉如是说·序言》
02242,吉田兼好,日本,B,贫富在天，德操在己。——《徒然草》〔译〕
02243,商羯罗,印度,A,当无明灭，如梦醒而了知唯梵是实，则轮回苦息。——《蛙氏奥义书注》〔译〕
02244,罗素,西方,B,我们需要的不是信仰的意志，而是求知的愿望，这恰是信仰意志的反面。——《怀疑论集》〔译〕
02245,叔本华,西方,A,人的一半痛苦，来自对痛苦的想象。——《作为意志和表象的世界》〔译〕
02246,公孙龙,中国,B,牛羊足五，鸡足三，故曰牛合羊非鸡。——《公孙龙子·通变论》
02247,李贽,中国,A,吾因是而有感于童心者之自文也。——《焚书·童心说》
02248,王阳明,中国,A,我今才做得个狂者的胸次，使天下之人都说我行不掩言也罢。——《传习录》下
02249,叔本华,西方,B,社会，是由无数「意志」相互冲突构成的战场。——《作为意志和表象的世界》〔译〕
02250,阿奎那,西方,B,知识始于感官；心无所受于感官者，无之于理智。——《神学大全·I·q.84·a.3》〔译〕
02251,胡塞尔,西方,A,我的自我并不是世界中的一个物体，而是使世界得以显现的视域中心。——《笛卡尔式的沉思》〔意译〕
02252,斯宾诺莎,西方,A,没有人真正追求恶；人只在无知中把恶当作善。——《伦理学》第四部分·命题十九〔意译〕
02253,释迦牟尼,印度,A,诸恶莫作，众善奉行，自净其意，是诸佛教。——《法句经·述佛品》（七佛通戒偈）
02254,克尔凯郭尔,西方,B,时代病，是人人都在议论，却无人愿意决断。——《现时代》（本名）〔译〕
02255,周敦颐,中国,B,天以阳生万物，以阴成万物。生，仁也；成，义也。——《通书·顺化》
02256,孟子,中国,B,有恒产者有恒心，无恒产者无恒心。——《孟子·滕文公上》
02257,密尔,西方,A,一个人，只要不妨碍他人，就有权按自己的方式生活。——《论自由·第一章》〔译〕
02258,熊十力,中国,B,实体是变易底，即是流行底。——《新唯识论·卷上》 〔意译〕
02259,克里希那穆提,印度,B,人们渴望和平，却不肯放下分别心。——《克里希那穆提讲演录》〔译〕
02260,商鞅,中国,B,凡战法必本于政胜，则其民不争。——《商君书·战法》
02261,第欧根尼,西方,A,"哲学给我的，是""为一切命运做好准备""。——〔译〕《名哲言行录》卷六·51"
02262,海亚姆,伊斯兰波斯,B,百年之后，谁记今宵之饮？——《鲁拜集》〔译〕
02263,海亚姆,伊斯兰波斯,B,昨夜月下，我见陶匠以曾为人之土造瓶。——《鲁拜集》〔译〕
02264,孟子,中国,B,老吾老，以及人之老；幼吾幼，以及人之幼。——《孟子·梁惠王上》
02265,韩非,中国,A,战阵之间，不厌诈伪。——《韩非子·难一》
02266,维特根斯坦,西方,A,我非世界的诸事实之一，我是世界的界限。——《逻辑哲学论》5.63〔译〕
02267,程颢,中国,A,毋意、毋必、毋固、毋我，是圣人事；学者须是去此四者。——《遗书》卷二上
02268,笛卡尔,西方,B,所谓错误与罪过，只存在于我们运用自由意志的方式之中。——《第一哲学沉思集》第四沉思〔意译〕
02269,海德格尔,西方,A,领会（Verstehen）不是认知，而是此在筹划自身的可能性。——《存在与时间》§31〔译〕
02270,伊壁鸠鲁,西方,A,人寄居此世，当如宾客，随时准备离去。——〔译〕《梵蒂冈格言集》VS 27
02271,吉田兼好,日本,B,善恶之报，如影随形。——《徒然草》〔译〕
02272,老子,中国,B,万物负阴而抱阳，冲气以为和。——《道德经·第四十二章》
02273,德谟克利特,西方,B,黄疸者视蜜为苦，健康者视蜜为甜——感觉随体质而异。——〔译〕《残篇》〔⚠️ 编号待核；普鲁塔克《道德论丛》转引，DK 无对应独立编号〕
02274,阿伦特,西方,B,传统断裂之后，我们不再能依靠承袭的智慧，只能依靠判断。——《过去与未来之间》〔意译〕
02275,海亚姆,伊斯兰波斯,B,沙与海，皆一时之戏，终归于无。——《鲁拜集》〔译〕
02276,萨特,西方,B,真理不是静观，而是在处境中被实践出来的。——《辩证理性批判》〔意译〕
02277,尼采,西方,B,艺术是生命最大的兴奋剂。——《权力意志》遗稿〔意译〕⚠️
02278,马克思,西方,B,商品，是充满形而上学的微妙与神学的怪诞的。——《资本论》第一卷·第一章〔译〕
02279,周敦颐,中国,B,文，所以载道也。——《通书·文辞》
02280,李贽,中国,B,夫六经、《语》《孟》，非其史官过为褒崇之词，则其臣子极为赞美之语。——《焚书·童心说》
02281,王充,中国,B,仲尼之徒，无道桓文之事者。——《论衡·刺孟》
02282,周敦颐,中国,B,莲，花之君子者也。——《爱莲说》
02283,董仲舒,中国,B,美事召美类，恶事召恶类，类之相应而起也。——《春秋繁露·同类相动》
02284,老子,中国,B,天之道，损有余而补不足；人之道则不然，损不足以奉有余。——《道德经·第七十七章》
02285,维特根斯坦,西方,B,看一个棋盘，我看到的不是颜色方块，而是棋局。——《哲学研究》〔意译〕
02286,爱比克泰德,西方,A,当有人责备或憎恨你时，记住他只是依自己的判断而行；他的判断与你何干？——《手册·26》〔意译〕
02287,雅斯贝尔斯,西方,B,世界并非封闭的系统，而是向超越敞开的场。——《哲学》〔意译〕
02288,赫拉克利特,西方,B,他们信任游吟诗人的言辞，以众人为师，却不知多数人是坏的，少数人是有价值的。——〔译〕《残篇》DK B104（希波吕托斯转引）
02289,斯宾诺莎,西方,B,所有人都生而平等，在自然状态下享有同等权利。——《神学政治论》第二章〔意译〕
02290,休谟,西方,B,政府的权威来自长期的习俗与同意，而非某一瞬间的契约。——《人性论》卷三·部二·章八〔意译〕
02291,帕斯卡,西方,B,知识有两种：一种是凭理智，一种是凭心。——《思想录》L397〔意译〕
02292,苏格拉底,西方,A,我被神派到这座城市，像一只牛虻叮着骏马。——柏拉图《申辩篇》30e〔译〕
02293,休谟,西方,B,多神教随文明演进而被一神教取代，是理性发展的结果。——《宗教的自然史》〔意译〕
02294,老子,中国,B,有无相生，难易相成，长短相形，高下相倾，音声相和，前后相随。——《道德经·第二章》
02295,墨子,中国,A,君子自难而易彼，众人自易而难彼。——《墨子·亲士》
02296,商鞅,中国,A,故圣王之治也，慎为、察务，归心于壹而已矣。——《商君书·农战》
02297,黑格尔,西方,A,概念的运动，是自由最具体的表现。——《逻辑学》〔译〕
02298,洛克,西方,B,当政府违背信托、侵犯人民权利时，人民有权推翻它。——《政府论两篇·下篇》章十九·节222〔意译〕
02299,伊壁鸠鲁,西方,A,若不审慎、不公正、不义，便不可能怡然生活。——〔译〕《主要学说》KD 5
02300,爱比克泰德,西方,A,凡令你痛苦或恐惧的，其实都不在你掌控之中；你对这些事的判断，才真正属于你。——《手册·1》〔意译〕
02301,王充,中国,A,处尊居显，未必贤，遇也；位卑在下，未必愚，不遇也。——《论衡·累害》
02302,孔子,中国,A,君子求诸己，小人求诸人。——《论语·卫灵公》
02303,荀子,中国,B,君者，善群也。——《荀子·王制》
02304,老子,中国,A,名与身孰亲？身与货孰多？得与亡孰病？——《道德经·第四十四章》
02305,塞涅卡,西方,B,自然把人造成彼此相依；孤立自活，违背人的本性。——《论心灵的宁静·3》〔译〕
02306,王阳明,中国,A,故凡学，莫先于立志。——《传习录》中
02307,墨子,中国,A,心无备虑，不可以应卒。——《墨子·七患》
02308,马克思,西方,B,无产者，在这个革命中失去的只是锁链，他们获得的将是整个世界。——《共产党宣言》〔译〕
02309,朱熹,中国,B,一经通，则他经可类推；一物格，则他物可类推。——《语类》卷十八
02310,伊壁鸠鲁,西方,A,剧烈的肉体痛苦不会持久；急痛只延续片刻。——〔译〕《主要学说》KD 4
02311,塞涅卡,西方,A,平静来自对得失的淡然；你若把外物看得重，便把安宁交给了运气。——《论心灵的宁静·2》〔译〕
02312,张载,中国,A,道以德者，理而得之于心也。——《正蒙·中正》
02313,苏格拉底,西方,A,认识你自己。——德尔菲神庙箴言，苏格拉底奉为终生准则（柏拉图《普罗泰戈拉篇》343b 提及）
02314,雅斯贝尔斯,西方,A,自由不是随心所欲，而是对自身可能性的自我抉择。——《哲学》第一卷〔译〕
02315,塞涅卡,西方,A,幸福即依德性而生活；舍此之外别无幸福。——《论幸福生活·1》〔译〕
02316,笛卡尔,西方,A,我是一个在思维的东西，也就是说，是一个在怀疑、理解、理会、肯定、否定、愿意、不愿意、想象、感觉的东西。——《第一哲学沉思集》第二沉思〔意译〕
02317,阿伦特,西方,A,我从不把判断交给时代，我只交付给我自己的良知。——《责任与判断》〔意译〕
02318,商鞅,中国,B,能生不能杀，必亡。——《商君书·画策》
02319,福柯,西方,B,真理的制度化，使某些陈述获得「科学」之名，其余则被贬为谬误。——《知识考古学》〔意译〕
02320,孔子,中国,A,知者不惑，仁者不忧，勇者不惧。——《论语·子罕》
02321,莱布尼茨,西方,B,最神圣的宇宙政体由上帝以至善治理。——《单子论》第85节〔意译〕
02322,柏拉图,西方,A,凡内在正义者，即便被误判为不义，其灵魂依旧安然无惧。——〔译〕《理想国》591b—592a
02323,商羯罗,印度,A,深眠位中离一切分别，唯余纯粹意识，是即汝之本性。——《蛙氏奥义书注·偈7》〔译〕
02324,墨子,中国,B,上之为政，得下之情，则治；不得下之情，则乱。——《墨子·尚同下》
02325,孟子,中国,A,养心莫善于寡欲。——《孟子·尽心下》
02326,墨子,中国,B,今若国之与国之相攻，家之与家之相篡，人之与人之相贼，君臣不惠忠，父子不慈孝，兄弟不和调，此则天下之害也。——《墨子·兼爱中》
02327,莱布尼茨,西方,B,自然界的一切都是连续的，不作飞跃（自然无跳跃）。——《单子论》第61节附注〔意译〕
02328,密尔,西方,A,理智的诚实，要求我承认论敌可能正确。——《论自由·第二章》〔译〕
02329,奥古斯丁,西方,B,时间是什么？若无人问我，我知道；若要我解释，我便不知。——《忏悔录·11·14》〔译〕
02330,苏格拉底,西方,B,应当听从的不是多数人，而是那个懂行的人。——柏拉图《克力同篇》47a 以下〔译〕
02331,朱熹,中国,B,读书是格物一事。——《语类》卷十八
02332,韩非,中国,B,儒以文乱法，侠以武犯禁，而人主兼礼之，此所以乱也。——《韩非子·五蠹》
02333,荀子,中国,B,群而无分则争，争则乱，乱则穷。——《荀子·富国》
02334,伊壁鸠鲁,西方,A,以贫穷为乐的人，才是真正富有。——〔译〕《梵蒂冈格言集》VS 41
02335,康德,西方,B,自然美，是我们在外部世界感到自身自由的证据。——《判断力批判》〔译〕
