人物,传统,现标v1,对象域v2,语句
马克思,西方,B,他者,商品的拜物教，把人与人的关系伪装成物与物的关系。——《资本论》第一卷·第一章〔译〕
阿奎那,西方,B,自我,自然法是永恒法在理性受造物中的分有；它刻于人心，不随时而易。——《神学大全·I-II·q.91·a.2》〔译〕#self-other
公孙龙,中国,B,符号,得其白，得其坚，见与不见离。不见离，一一不相盈，故离。——《公孙龙子·坚白论》
郭象,中国,A,自我,各安其天性，不责于人。——《庄子注·逍遥游》
冯友兰,中国,A,同一,天地境界中底人，觉解他不仅是社会底一份子，而且是宇宙底一份子。——《新原人·第四章》
墨子,中国,B,他者,不义不富，不义不贵，不义不亲，不义不近。——《墨子·尚贤上》
孔子,中国,B,他者,己所不欲，勿施于人。——《论语·颜渊》《论语·卫灵公》
王阳明,中国,A,自我,千圣皆过影，良知乃吾师。——《长生》
马克思,西方,B,他者,资本主义私有制，是建立在他人劳动之无偿占有上的最后一个隐蔽形式。——《资本论》第一卷·第二十四章〔译〕
慧能,中国,B,自我,东方人造罪，念佛求生西方；西方人造罪，念佛求生何国？——《坛经》（敦煌本）
维特根斯坦,西方,A,符号,我若理解一个词，不是因为窥见它的意义实体，而是会用在游戏中。——《哲学研究》§43〔译〕
亚里士多德,西方,A,自我,沉思的生活，是最高、最持久、最纯净的幸福。——〔译〕《尼各马可伦理学》1177a—b
朱熹,中国,B,世界,未有天地之先，毕竟也只是理。有此理，便有此天地；若无此理，便亦无天地，无人无物。——《语类》卷一
马克思,西方,A,他者,哲学家们只是用不同的方式解释世界，而问题在于改变世界。——《关于费尔巴哈的提纲》第十一条〔译〕
陆九渊,中国,A,符号,讲明工夫，乃是知有是非邪正。——《语录》
程颢,中国,A,同一,医书言手足痿痺为不仁，此言最善名状。仁者，以天地万物为一体，莫非己也。——《遗书》卷二上
德谟克利特,西方,A,自我,贪婪者永远贫穷。——〔译〕《残篇》DK B57（斯托拜乌斯转引）
萨特,西方,B,自我,恶，是人对自由的放弃。——《存在与虚无》〔意译〕
陆九渊,中国,A,自我,人皆有是心，心皆具是理，心即理也。——《与李宰书》（卷十一）
爱比克泰德,西方,B,他者,当有人对你行不义，记住他依其判断而行，正如你也曾依错误判断而行；原谅他，如同原谅从前的自己。——《手册·18》〔意译〕
海德格尔,西方,B,世界,现代技术是一种「座架」（Gestell），把世界当作可计算的库存。——《技术的追问》〔译〕
克尔凯郭尔,西方,A,自我,我只要求一件事：做我自己。——《日记》（Papirer）〔译〕
孟子,中国,A,他者,贤者以其昭昭使人昭昭，今以其昏昏使人昭昭。——《孟子·尽心下》
阿伦特,西方,A,自我,我的良知只对具体之事说话，不对抽象之史。——《责任与判断》〔意译〕
商鞅,中国,B,他者,强而不战，必损其国；战而不胜，必亡其国。——《商君书·去强》
安萨里,伊斯兰波斯,A,自我,沉默是金，言多必失其智。——《宗教学科的复兴》〔译〕
波普尔,西方,B,符号,预言历史的企图，本身会扭曲被预言的历史。——《历史决定论的贫困》〔意译〕
朱熹,中国,B,世界,理气本无先后之可言，然必欲推其所从来，则须说先有是理。——《语类》卷一
萨特,西方,B,世界,历史由行动者书写，而非由宿命决定。——《辩证理性批判》〔意译〕
阿伦特,西方,A,自我,我之为我，在于我敢于不合时宜地思考。——《精神生活·思维》〔意译〕
老子,中国,B,他者,民之难治，以其上之有为，是以难治。——《道德经·第七十五章》
福柯,西方,A,自我,我无法忍受的不是无知，而是被一个单一的真理所统治。——《权力的眼睛》〔意译〕
孙子,中国,A,他者,将者，智、信、仁、勇、严也。——《孙子兵法·计篇》
周敦颐,中国,A,自我,天地间，至尊者道，至贵者德而已矣；至难得者人，人而至难得者，道德有于身而已矣。——《通书·师友上》
克尔凯郭尔,西方,B,自我,当世界变得重要，自我便变得微小。——《日记》（Papirer）〔译〕
萨特,西方,B,他者,异化源于人创造的制度反过来支配人。——《辩证理性批判》〔译〕
阿伦特,西方,B,他者,孤独，是极权统治得以蔓延的心理前提。——《极权主义的起源》〔译〕
鲁米,伊斯兰波斯,A,自我,内在的火，需以泪水浇熄，而非以借口。——《玛斯纳维·卷四》〔译〕
海亚姆,伊斯兰波斯,B,自我,造化弄人，智者饮以忘之。——《鲁拜集》〔译〕
孔子,中国,B,世界,天何言哉？四时行焉，百物生焉，天何言哉？——《论语·阳货》
克里希那穆提,印度,A,自我,恐惧源于把过去的记忆投射到未来。——《重新认识你自己》〔译〕
释迦牟尼,印度,B,自我,月轮虽缺，光明不灭；正法虽远，信者能传。——《增一阿含经·卷二十二》〔意译〕
荀子,中国,B,自我,饥而欲食，寒而欲暖，劳而欲息，好利而恶害，是人之所生而有也。——《荀子·荣辱》
康德,西方,B,自我,我能知道什么？我应当做什么？我可以希望什么？而最后，人是什么？——《纯粹理性批判·引言》〔译〕
释迦牟尼,印度,B,符号,犹如有人身中毒箭，不应先问「箭谁所射、何木所作」，当急拔箭。——《中阿含经·箭喻经》（无记不问）
波普尔,西方,A,自我,一个人成熟的标志，是能承受「自己可能是错的」这一事实。——《无穷的探索》〔意译〕
程颐,中国,B,世界,万物资始乃统天，云行雨施，品物流行。——《易传·乾卦》
董仲舒,中国,A,他者,是故南面而治天下，莫不以教化为大务。——《汉书·董仲舒传》（举贤良对策）
朱熹,中国,A,自我,读书有三到：心到、眼到、口到。——《训学斋规》
安萨里,伊斯兰波斯,B,符号,知识分二类：利今世者、利后世者；后者为本。——《宗教学科的复兴·卷一》〔译〕
康德,西方,B,符号,空间与时间，是感性直观的纯粹形式。——《纯粹理性批判·先验感性论》（A22/B37）〔译〕
胡塞尔,西方,B,世界,现代科学的危机，根源在于遗忘了生活世界这一意义源头。——《欧洲科学的危机与超越论的现象学》§1〔译〕
叔本华,西方,A,自我,放弃对幸福的追逐，反而获得平静。——《附录与补遗·论意志的自由》〔译〕
波普尔,西方,B,符号,一种不能被检验、不能被反驳的主张，不属于科学。——《科学发现的逻辑》〔译〕
冯友兰,中国,B,自我,道家之理想人格，是真人。——《中国哲学简史·第二章》
老子,中国,A,自我,大直若屈，大巧若拙，大辩若讷。——《道德经·第四十五章》
柏拉图,西方,B,世界,由爱人身之美，逐级攀升至爱制度之美、学问之美，终至美本身。——〔译〕《会饮》210a—211b
亚里士多德,西方,B,世界,神是不动的推动者，是纯现实、永恒而至善的第一因。——〔译〕《形而上学》1072a—b
克里希那穆提,印度,B,符号,知识与智慧不同：知识是积累的，智慧是当下的。——《重新认识你自己》〔译〕
牟宗三,中国,A,世界,死生昼夜，天理之常，智者不惑。——《中国哲学十九讲》 〔意译〕
冯友兰,中国,A,自我,人对于人生底觉解，使人生有意义。——《新原人·第一章》
程颐,中国,A,自我,闲邪则诚自存。——《遗书》卷十五
冯友兰,中国,B,世界,道体是流行底，是一切底流行。——《新理学·第四章》
马克思,西方,A,他者,真正的人道主义，是对异化了的现实的超越。——《1844年经济学哲学手稿》〔译〕
马可·奥勒留,西方,A,自我,一切都取决于你的看法。——《沉思录》卷十二·22
庄子,中国,A,自我,举世而誉之而不加劝，举世而非之而不加沮。——《庄子·逍遥游》
海德格尔,西方,A,自我,人作为此在，是存在的「牧者」。——《关于人道主义的书信》〔意译〕
孟子,中国,B,符号,缘木求鱼。——《孟子·梁惠王上》
斯宾诺莎,西方,A,自我,至福并非德性的奖赏，而是德性本身。——《伦理学》第五部分·命题四十二〔意译〕
吉田兼好,日本,A,自我,虚心受人言，乃进德之基。——《徒然草》〔译〕
斯宾诺莎,西方,B,世界,自然中没有任何偶然的东西；一切皆为神本性的必然。——《伦理学》第一部分·命题二十九附释
顾炎武,中国,A,符号,穷经以致用，非空谈性命。——《亭林文集》 〔意译〕
商鞅,中国,B,他者,兵农怠而国弱。——《商君书·垦令》
墨子,中国,B,他者,仁人之事者，必务求兴天下之利，除天下之害。——《墨子·兼爱下》
胡塞尔,西方,B,符号,自然态度不加考察地设定一个独立于意识的客观世界。——《纯粹现象学通论》§27〔译〕
海德格尔,西方,B,世界,形而上学的历史，是存在被规定为存在者的历史。——《路标·论根据的本质》〔意译〕
帕斯卡,西方,A,自我,想象力支配着人，它造就美、造就正义、造就幸福。——《思想录》L82〔意译〕
庄子,中国,A,自我,至乐无乐，至誉无誉。——《庄子·至乐》
萨特,西方,B,自我,人若不为自由抗争，便是自由的同谋。——《存在主义是一种人道主义》〔意译〕
帕斯卡,西方,A,自我,真正的阅读改变的不是记忆，而是人心。——《思想录》〔意译〕⚠️
叔本华,西方,A,自我,人生，是在痛苦与无聊之间摆动的钟摆。——《作为意志和表象的世界》〔译〕
福柯,西方,A,自我,我接受自己是有限的、历史的、可变的。——《性经验史》〔意译〕
释迦牟尼,印度,B,世界,若佛出世，若未出世，此法常住，法住法界，缘起之法，古今不易。——《杂阿含经·卷十二》
海亚姆,伊斯兰波斯,A,自我,我不辨自何来，亦不知去何往，此身如寄于天地。——《鲁拜集》〔译〕
吉田兼好,日本,B,自我,远游者见广，闭户者见深。——《徒然草》〔译〕
张载,中国,B,符号,义理之学，亦须深沉方有造，非浅易轻浮之可得也。——《经学理窟·学大原》
德谟克利特,西方,B,符号,"人的知识只是""暗弱的光""，离真理尚远。——〔译〕《残篇》DK B（塞克斯都·恩披里柯转引）"
孙子,中国,B,他者,故智将务食于敌，食敌一钟，当吾二十钟。——《孙子兵法·作战篇》
荀子,中国,B,符号,谈说之术：矜庄以莅之，端诚以处之，坚强以持之，分别以明之。——《荀子·非相》
雅斯贝尔斯,西方,B,自我,轴心时代的人开始意识到整体的存在、自身与限度。——《历史的起源与目标》〔译〕
尼采,西方,B,自我,历史感过重是现代人的病；历史必须是生命的仆人，而不是主人。——《不合时宜的沉思·历史对于生命的利与弊》〔意译〕
德谟克利特,西方,A,自我,纠正自己的过失，胜过纠正他人的过失。——〔译〕《残篇》DK B41（斯托拜乌斯转引）
亚里士多德,西方,A,自我,主动理智（能思之理性）是不朽的、永恒的、不混杂的。——〔译〕《论灵魂》429a—430a
阿奎那,西方,B,世界,万物之中有程度的善、真、贵；必有至善、至真、至贵者为之因。——《神学大全·I·q.2·a.3》〔译〕
维特根斯坦,西方,B,符号,一个词的意义，就是它在语言中的用法。——《哲学研究》§43〔译〕
克里希那穆提,印度,B,自我,制度无法解决人心的腐败。——《克里希那穆提讲演录》〔译〕
释迦牟尼,印度,A,自我,如实知见五受阴，则断贪爱，得心解脱。——《杂阿含经·卷三》
维特根斯坦,西方,B,符号,私人语言不可能，因为规则无法私人地确立。——《哲学研究》§256〔译〕
胡塞尔,西方,B,世界,生活世界是前科学的、被给予我们的意义基础。——《欧洲科学的危机与超越论的现象学》§34〔译〕
爱比克泰德,西方,A,自我,你若为了身体的舒适而牺牲自由，便是用自己的钱买了一个主人。——《手册·14》〔意译〕
嵇康,中国,B,自我,六经以抑引为主，人性以从容为欢。——《难自然好学论》
庄子,中国,B,世界,指穷于为薪，火传也，不知其尽也。——《庄子·养生主》
德谟克利特,西方,A,自我,不应因惧怕惩罚才不行不义。——〔译〕《残篇》DK B78（斯托拜乌斯转引）
德谟克利特,西方,B,他者,遵从本国法律，是高尚之事。——〔译〕《残篇》DK B257（斯托拜乌斯转引）
墨子,中国,A,符号,言无务为多而务为智，无务为文而务为察。——《墨子·修身》
董仲舒,中国,B,他者,君为阳，臣为阴；父为阳，子为阴；夫为阳，妻为阴。——《春秋繁露·基义》
孙子,中国,B,他者,令之以文，齐之以武，是谓必取。——《孙子兵法·行军篇》
罗素,西方,B,符号,科学能告诉我们「是什么」，却无法告诉我们「应当是什么」。——《人类的知识》〔译〕
黑格尔,西方,A,自我,教化，使人摆脱自然的直接性，进入普遍的精神。——《精神现象学》〔译〕
帕斯卡,西方,B,符号,上帝的存在无法由几何般的证明确定，却能由心的需要确证。——《思想录》L424〔意译〕
商鞅,中国,B,他者,三代不同礼而王，五霸不同法而霸。——《商君书·更法》
爱比克泰德,西方,A,自我,当你求神问卜时，记住你所求不过是你自己的恐惧；神已把理性赐你，足堪应对一切。——《手册·29》〔意译〕
牟宗三,中国,B,他者,政治之正当，在民意之畅达。——《政道与治道》 〔意译〕
亚里士多德,西方,A,自我,勇敢是面对高尚之死与危险时的适度，而非无所畏惧。——〔译〕《尼各马可伦理学》1115a—1117b
韩非,中国,A,世界,千里之堤，以蝼蚁之穴溃；百尺之室，以突隙之烟焚。——《韩非子·喻老》
李贽,中国,A,自我,终身不休，便是真学。——《焚书》 〔意译概括〕 ⚠️
加缪,西方,B,自我,反抗者说「不」，却也在那「不」中确认一个「是」。——《反抗者》〔译〕
张载,中国,B,自我,违曰悖德，害仁曰贼；济恶者不才，其践形，惟肖者也。——《西铭》
克尔凯郭尔,西方,B,他者,教会与世俗的合流，是信仰的衰亡。——《致死的疾病》（Anti-Climacus）〔译〕
王阳明,中国,A,自我,心即理也。天下又有心外之事，心外之理乎？——《传习录》上
罗素,西方,A,他者,爱教会我的，比书本更多。——《自传》〔意译〕
阿伦特,西方,B,他者,公共生活的衰落，始于人们退回到私人的舒适。——《人的境况》〔意译〕
海德格尔,西方,A,自我,烦（Sorge）是此在整体的存在结构。——《存在与时间》§41〔译〕
伊壁鸠鲁,西方,B,自我,"不义本身并非恶，对""被发觉""的恐惧才是恶。——〔译〕《主要学说》KD 34"
孔子,中国,B,他者,近者悦，远者来。——《论语·子路》
陆九渊,中国,B,自我,古之学者，求其所安；今之学者，求其所异。——《语录》
陆九渊,中国,A,自我,私意与公理，利欲与道义，其势不两立。——《语录》
牟宗三,中国,A,自我,性体之流行，即是吾人之诚意。——《心体与性体·第二部》 〔意译〕
鲁米,伊斯兰波斯,B,符号,知识的穷尽处，是爱的起点。——《玛斯纳维·卷四》〔译〕
朱熹,中国,B,符号,所谓致知在格物者，言欲致吾之知，在即物而穷其理也。——《大学章句·补传》
老子,中国,B,自我,金玉满堂，莫之能守；富贵而骄，自遗其咎。——《道德经·第九章》
休谟,西方,A,自我,习惯是人生的伟大指南。——《人性论》卷一·部三·章十 / 《人类理解研究》〔意译〕
马克思,西方,B,他者,货币转化为资本，以劳动力成为商品为前提。——《资本论》第一卷·第四章〔译〕
波普尔,西方,A,世界,所有的生命都是解决问题。——《客观知识》〔译〕
第欧根尼,西方,A,他者,哲人当以自身助人，而非以其财物助人。——〔译〕《名哲言行录》卷六（据言行录）
塞涅卡,西方,A,自我,死亡并不可怕，可怕的是对死亡的长期预支式恐惧；它只发生一次。——《论心灵的宁静·11》〔译〕
海德格尔,西方,A,自我,人是被抛入其生存的，这一被抛性是他无法选择的。——《存在与时间》§29〔译〕
福柯,西方,B,符号,真理是这个世间之物：它只能在多重约束之下被生产出来。——《权力的眼睛》〔译〕
柏拉图,西方,B,世界,太阳喻：善如太阳，既使万物可见，又赋予其生成。——〔译〕《理想国》508a—509a
龙树,印度,B,世界,由一切诸法，自性本空故，无生亦无灭，本来寂静。——《七十空性论·卷一》
萨特,西方,B,自我,价值不是被发现的，而是被人在世界上创造的。——《存在主义是一种人道主义》〔译〕
萨特,西方,A,自我,自为（pour-soi）是使自身成为问题的存在。——《存在与虚无》〔译〕
亚里士多德,西方,A,自我,温和是面对愤怒的适度：该怒则怒、对该怒者怒。——〔译〕《尼各马可伦理学》1125b—1126a
周敦颐,中国,B,符号,大哉《易》也，斯其至矣！——《太极图说》
庄子,中国,B,他者,人主莫不欲其臣之忠，而忠未必信。——《庄子·外物》
道元,日本,A,自我,修证一如，证之一字，不可于心外求。——《正法眼藏·辨道話》
孔子,中国,A,自我,吾日三省吾身：为人谋而不忠乎？与朋友交而不信乎？传不习乎？——《论语·学而》（曾子语，与孔子修身之道并引）
墨子,中国,A,自我,江河不恶小谷之满己也，故能大。——《墨子·亲士》
程颢,中国,B,自我,学者不必远求，近取诸身，只明天理。——《遗书》卷二上
雅斯贝尔斯,西方,A,自我,人若停止自我追问，便停止存在。——《哲学》〔意译〕
顾炎武,中国,B,符号,尝谓今人纂辑之书，如贫子说金，而吾之著书，如采铜于山。——《日知录》（与潘次耕书）
荀子,中国,B,世界,天行有常，不为尧存，不为桀亡。——《荀子·天论》
鲁米,伊斯兰波斯,B,他者,当你为他人点灯，自己的路亦明。——。——《玛斯纳维·卷二》 #self-other〔译〕
郭象,中国,B,世界,若责其所待，而寻其所由，则寻责无极，而至于无待，而独化之理明矣。——《庄子注·齐物论》
孙子,中国,A,他者,故用兵之法，无恃其不来，恃吾有以待也；无恃其不攻，恃吾有所不可攻也。——《孙子兵法·九变篇》
帕斯卡,西方,A,自我,我们的全部尊严就在于思想；因此，要好好思想。——《思想录》L113〔意译〕
鲁米,伊斯兰波斯,A,自我,卖去你的聪明，买来你的迷醉。——《玛斯纳维·卷一》〔译〕
帕斯卡,西方,B,自我,我们生来就是不义的，因为每个人都偏向自己。——《思想录》〔意译〕
韩非,中国,B,他者,故智术能法之士用，则贵重之臣必在绳之外矣。——《韩非子·孤愤》
张载,中国,A,自我,人若志趣不远，心不在焉，虽学无成。——《经学理窟·义理》
休谟,西方,B,符号,神迹违背统一的经验规律，故理性上不可信。——《人类理解研究》第十章〔意译〕
克里希那穆提,印度,A,自我,思想造不出一个崭新的世界。——《重新认识你自己》〔译〕
伊壁鸠鲁,西方,A,世界,不知宇宙本性者，无法祛除关于最重要之事的恐惧。——〔译〕《主要学说》KD 12
马可·奥勒留,西方,A,自我,一个人退到自己内心的堡垒中，再没有比这里更安宁的地方。——《沉思录》卷四·3〔同一段落的另一表述〕
福柯,西方,B,符号,我们把秩序误当作自然，而考古学要做的，是拆穿这种误认。——《知识考古学》〔意译〕
伊壁鸠鲁,西方,B,自我,依正义而活，是最少纷扰的生活。——〔译〕《主要学说》KD 33
朱熹,中国,A,自我,圣贤千言万语，无非只说此事。——《语类》
莱布尼茨,西方,A,自我,自我意识是理性灵魂的标志。——《单子论》第61节〔意译〕
董仲舒,中国,A,自我,心之养，莫贵于义。——《春秋繁露·身之养重于义》
郭象,中国,B,世界,言万物之变化，皆由自然。——《庄子注·至乐》
雅斯贝尔斯,西方,A,自我,人若回避临界处境，便沦为沉沦的群众之一员。——《时代的精神状况》〔意译〕
王弼,中国,B,符号,老子之书，其几乎可一言以蔽之。噫！崇本息末而已矣。——《老子指略》
孔子,中国,B,自我,苟正其身矣，于从政乎何有？不能正其身，如正人何？——《论语·子路》
德谟克利特,西方,A,他者,既得昌盛又不侵害他人，是为至善。——〔译〕《残篇》DK B70（斯托拜乌斯转引）
嵇康,中国,B,符号,夫推类辨物，当先求之自然之理。——《声无哀乐论》
公孙龙,中国,B,符号,变奚？曰：右。——《公孙龙子·通变论》
墨子,中国,B,他者,无法仪而其事能成者，无有也。——《墨子·法仪》
商鞅,中国,B,他者,豪杰务学《诗》《书》，随从外权；要靡事商贾，为技艺，皆以避农战。——《商君书·农战》
加缪,西方,A,自我,我承担我的孤独，因为它证明我存在。——《西西弗神话》〔意译〕
郭象,中国,B,世界,物各自然，不知所以然而然。——《庄子注·齐物论》
胡塞尔,西方,A,自我,我的身体是我的所有知觉得以可能的「零点」。——《笛卡尔式的沉思》〔意译〕
老子,中国,A,自我,曲则全，枉则直，洼则盈，敝则新，少则得，多则惑。——《道德经·第二十二章》
奥古斯丁,西方,B,他者,真正的和平是秩序之静；上帝之城享有永恒的和平，地上的城只有暂时的和平。——《上帝之城·19·13》〔译〕
龙树,印度,A,自我,若离贪爱，则离系缚；离系缚者，名为解脱。——《大智度论·卷二十二》〔意译〕
孙子,中国,A,他者,故不尽知用兵之害者，则不能尽知用兵之利也。——《孙子兵法·作战篇》
王充,中国,B,世界,世人言：邹衍无罪，见拘于燕，仰天而叹，天为之降霜。——《论衡·感虚》
黄宗羲,中国,A,自我,收敛此心，使在内而不在外。——《明儒学案》 〔意译〕
休谟,西方,A,符号,想象力比理性更主动地塑造我们的信念。——《人性论》卷一·部三·章九〔意译〕
韩非,中国,A,符号,欲成方圆而随其规矩，则万事之功形矣。——《韩非子·解老》
荀子,中国,A,自我,学不可以已。——《荀子·劝学》
陆九渊,中国,B,自我,东海有圣人出焉，此心同也，此理同也；西海有圣人出焉，此心同也，此理同也。——《语录》（卷三十六）
墨子,中国,B,他者,强必治，不强必乱；强必宁，不强必危。——《墨子·非命下》
龙树,印度,B,世界,众缘所生法，即无有自性；若无自性者，云何有是法？——《十二门论·观因缘门》
商鞅,中国,B,他者,所谓壹刑者，刑无等级，自卿相、将军以至大夫、庶人，有不从王令、犯国禁、乱上制者，罪死不赦。——《商君书·赏刑》
洛克,西方,A,符号,没有天赋的思辨原则，也没有天赋的实践原则。——《人类理解论》卷一·章二·节1〔意译〕
冯友兰,中国,B,自我,儒家所讲底，是人之道。——《中国哲学简史·第一章》
道元,日本,A,自我,修行在粥饭边，典座之职不可一日阙。——《典座教訓》
鲁米,伊斯兰波斯,A,自我,昨日我聪明，故想改变世界；今日我智慧，故改变自己。——《玛斯纳维·卷五》〔译〕
惠施,中国,A,符号,惠施多方，其书五车。——《庄子·天下》
斯宾诺莎,西方,A,自我,恐惧是软弱，它来自对未来的想象而非理智。——《伦理学》第三部分·命题四十九〔意译〕
董仲舒,中国,B,他者,天之任阳不任阴，好德不好刑。——《春秋繁露·阴阳义》
黄宗羲,中国,A,自我,心无本体，工夫所至，即其本体。——《明儒学案·自序》
福柯,西方,A,自我,我不为任何阵营写作，我只写转折。——《言与文》〔意译〕
郭象,中国,A,自我,心以用伤，则养心者，其唯不用心乎？——《庄子注·在宥》
伊壁鸠鲁,西方,A,自我,我们生而只有一次，不可能再生第二次。——〔译〕《梵蒂冈格言集》VS 62
尼采,西方,B,他者,市场之蝇：他们在你身边嗡嗡，他们的赞美与他们的抱怨一样令人厌烦。——《查拉图斯特拉如是说·论市场之蝇》〔意译〕
熊十力,中国,A,自我,发愤忘食，乐以忘忧，圣者之境也。——《读经示要》 〔意译〕
吉田兼好,日本,A,自我,言多必失，默为金。——《徒然草》〔译〕
朱熹,中国,B,世界,鬼神只是阴阳二气之屈伸往来。——《语类》卷三 ⚠️（「二气良能」原出张载，朱子同主张此说）
僧肇,中国,B,符号,是以言常而不住，称去而不迁。——《物不迁论》
斯宾诺莎,西方,B,世界,一切存在之物都在神之内，并且只有通过神才能被认识。——《伦理学》第一部分·命题十五
阿伦特,西方,A,自我,我害怕的不是孤独，而是失去与自己对话的能力。——《精神生活·思维》〔意译〕
马可·奥勒留,西方,A,自我,不要浪费剩下的生命去谈论别人，那样你就无暇做自己的事。——《沉思录》卷三·4〔意译〕
顾炎武,中国,A,自我,人之为学，不可自小，又不可自大。——《日知录·自视》
海亚姆,伊斯兰波斯,A,自我,醉乡无愁，醒世多忧，故吾愿长醉。——《鲁拜集》〔译〕
奥古斯丁,西方,B,自我,时间对我而言，是心灵自身的延展；过去是记忆，未来是期待，现在是注意。——《忏悔录·11·26》〔译〕
亚里士多德,西方,B,他者,友爱基于相互的善意与选择，而非仅靠有用或愉悦。——〔译〕《尼各马可伦理学》1156a—1157a
海德格尔,西方,B,符号,思与诗是邻近于存在的两种运思方式。——《林中路·诗人何为？》〔译〕
爱比克泰德,西方,B,他者,哲人并不离群索居；他尽公民、邻人、朋友之分，只是在内心不把任何外物当作自己的幸福。——《论说集·2·2》〔意译〕
墨子,中国,B,他者,夫爱人者，人必从而爱之；利人者，人必从而利之。——《墨子·兼爱中》
孟子,中国,A,自我,人之所以异于禽兽者几希。——《孟子·离娄下》
巴门尼德,西方,B,世界,是者之为是，是必然的；非存在者，绝不可能有之。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
商羯罗,印度,B,符号,一切经论皆为引人入不二；若已证不二，经论可舍。——《梵经注·卷四》〔译〕
伊壁鸠鲁,西方,B,他者,在没有相互约定之处，便无所谓正义。——〔译〕《主要学说》KD 38
冯友兰,中国,A,他者,在道德境界中底人，觉解其尽伦尽职，是社会底。——《新原人·第三章》
僧肇,中国,B,世界,夫生死交谢，寒暑迭迁，有物流动，人之常情。余则谓之不然。——《物不迁论》
王阳明,中国,A,自我,学须反己。若徒责人，只见得人不是，不见自己非。——《传习录》下
顾炎武,中国,B,自我,事无大小，惟其当务之为急。——《日知录》 〔意译〕
程颢,中国,B,自我,切脉最可体仁。——《遗书》卷三
福柯,西方,B,他者,权力无处不在，不是因为它包罗一切，而是因为它来自各处。——《性史·第一卷》〔译〕
朱熹,中国,A,自我,问：「人当如何立志？」曰：「立志要如饥渴之于饮食。」——《语类》
程颐,中国,A,自我,能胜物之谓刚，故直方大。——《易传·坤卦》
海德格尔,西方,B,符号,诗保存了语言最本真的维度。——《林中路·诗人何为？》〔译〕
道元,日本,A,自我,妄念起时，不抑不随，任其自去。——《正法眼藏·坐禅箴》
塞涅卡,西方,B,他者,真正的伟大，不在于居高临下，而在于能俯身助人。——《论仁慈·1》〔译〕
第欧根尼,西方,B,世界,唯一真正的城邦，是这整个宇宙。——〔译〕《名哲言行录》卷六·61
加缪,西方,A,自我,我身上的夏天，是对一切寒冬的回答。——《夏天》〔意译〕
爱比克泰德,西方,B,他者,世界如同一座城，人都是其中的公民；神是这城的管理者，你当尽你这角色之分。——《手册·24》〔意译〕#self-other
周敦颐,中国,B,世界,无极之真，二五之精，妙合而凝。——《太极图说》
冯友兰,中国,A,自我,吾人当以天地境界为归趣。——《新原人》 〔意译〕
赫拉克利特,西方,A,自我,灵魂在冥府里靠嗅闻而存活。——〔译〕《残篇》DK B98（第欧根尼·拉尔修 IX.7 转引）
爱比克泰德,西方,B,自我,他人之错与你无关；不要把它当作自己的负担。——《手册·18》〔译〕
王阳明,中国,B,自我,个个人心有仲尼，自将闻见苦遮迷。——《咏良知四首示诸生》
道元,日本,B,世界,一国一州，悉有佛法流行。——《正法眼藏·仏法》
商鞅,中国,B,他者,公私之交，存亡之本也。——《商君书·修权》
斯宾诺莎,西方,A,自我,意志与理智是同一的；所谓自由意志只是无知的产物。——《伦理学》第二部分·命题四十八附释〔意译〕
莱布尼茨,西方,B,他者,国家的和平有赖于对最高权力的理性认同。——《单子论》〔意译〕⚠️
洛克,西方,A,符号,信仰不可僭越理性证据所能达到的范围。——《人类理解论》卷四·章十八·节5〔意译〕
塞涅卡,西方,B,自我,财富与名誉在智者眼中，如戏台上的道具，用过即还，不足萦怀。——《论幸福生活·1》〔译〕
老子,中国,A,自我,圣人被褐而怀玉。——《道德经·第七十章》
荀子,中国,B,他者,蓬生麻中，不扶而直；白沙在涅，与之俱黑。——《荀子·劝学》
笛卡尔,西方,A,自我,我是一个实体，它的全部本质或本性只是思想；它不需要任何地点以便存在，也不依赖任何物质性的东西。——《第一哲学沉思集》第二沉思
王夫之,中国,B,他者,天下之势，一离一合，一治一乱。——《读通鉴论》 〔意译〕
孙子,中国,B,他者,故上兵伐谋，其次伐交，其次伐兵，其下攻城。——《孙子兵法·谋攻篇》
克尔凯郭尔,西方,B,他者,教会若只求人数，便背离了真信仰。——《日记》（Papirer）〔译〕
王弼,中国,B,世界,道不违自然，乃得其性。——《老子注·二十五章》
德谟克利特,西方,B,他者,风俗（nomos）规定何者为正义，自然（physis）则另有其则。——〔译〕《残篇》DK B（斯托拜乌斯转引）
雅斯贝尔斯,西方,B,自我,真理不是占有，而是我与存在在交往中的相互照亮。——《论真理》〔译〕
安萨里,伊斯兰波斯,A,自我,守时、守约，是修行者之盔甲。——《宗教学科的复兴》〔译〕
胡塞尔,西方,A,自我,我无法摆脱自身视角的有限性，但正因此我能追问无限。——《纯粹现象学通论》〔意译〕
第欧根尼,西方,B,自我,僭主的权力再大，也夺不走一个无所求者的自足。——〔意译〕《名哲言行录》卷六（亚历山大轶事之义）
维特根斯坦,西方,B,符号,哲学不是一种学说，而是一种活动。——《逻辑哲学论》4.112〔译〕
赫拉克利特,西方,B,符号,这逻各斯，虽永远存在，人们却总在听闻它之前与之后都茫然不解。——〔译〕《残篇》DK B1（塞克斯都·恩披里柯《反对数学家》转引）
